Protein,Filename,Chain
2Y78,pdb2y78.ent.gz,A
2PVB,pdb2pvb.ent.gz,A
5A71,pdb5a71.ent.gz,A
7BDR,7BDR.pdb.gz,A
3QM9,pdb3qm9.ent.gz,A
5IG6,pdb5ig6.ent.gz,A
3G46,pdb3g46.ent.gz,A
5BR4,pdb5br4.ent.gz,A
3X0I,pdb3x0i.ent.gz,A
7P1Q,7P1Q.pdb.gz,A
5MK9,pdb5mk9.ent.gz,A
4HNO,pdb4hno.ent.gz,A
1RB9,pdb1rb9.ent.gz,A
1IQZ,pdb1iqz.ent.gz,A
6EQE,pdb6eqe.ent.gz,A
3EA6,pdb3ea6.ent.gz,A
6HSA,pdb6hsa.ent.gz,A
2FVY,pdb2fvy.ent.gz,A
1VB0,pdb1vb0.ent.gz,A
4G78,pdb4g78.ent.gz,A
6CNW,pdb6cnw.ent.gz,A
7A2X,pdb7a2x.ent.gz,A
6UWW,pdb6uww.ent.gz,A
1L9L,pdb1l9l.ent.gz,A
3WGX,pdb3wgx.ent.gz,A
2G6F,pdb2g6f.ent.gz,X
2PPN,pdb2ppn.ent.gz,A
6TJ8,pdb6tj8.ent.gz,A
7MBO,pdb7mbo.ent.gz,A
6ZSY,pdb6zsy.ent.gz,A
1OK0,pdb1ok0.ent.gz,A
6RI6,pdb6ri6.ent.gz,A
1VBW,pdb1vbw.ent.gz,A
3QL9,pdb3ql9.ent.gz,A
3M5Q,pdb3m5q.ent.gz,A
4R2X,pdb4r2x.ent.gz,A
5QU8,pdb5qu8.ent.gz,A
1B0Y,pdb1b0y.ent.gz,A
1KWF,pdb1kwf.ent.gz,A
2BT9,pdb2bt9.ent.gz,A
2FDN,pdb2fdn.ent.gz,A
3QR7,pdb3qr7.ent.gz,A
2UU8,pdb2uu8.ent.gz,A
2ZQ7,pdb2zq7.ent.gz,A
2GUD,pdb2gud.ent.gz,A
4QB3,pdb4qb3.ent.gz,A
7A31,pdb7a31.ent.gz,A
6Q6T,pdb6q6t.ent.gz,A
4MZC,pdb4mzc.ent.gz,A
4A02,pdb4a02.ent.gz,A
1BXO,pdb1bxo.ent.gz,A
6TWT,pdb6twt.ent.gz,A
2XOM,pdb2xom.ent.gz,A
2XJP,pdb2xjp.ent.gz,A
4UNU,pdb4unu.ent.gz,A
5U3A,pdb5u3a.ent.gz,A
7A3H,pdb7a3h.ent.gz,A
5JSK,pdb5jsk.ent.gz,B
5JSK,pdb5jsk.ent.gz,A
1MJ5,pdb1mj5.ent.gz,A
4WKA,pdb4wka.ent.gz,A
3VN3,pdb3vn3.ent.gz,A
3G9X,pdb3g9x.ent.gz,A
4KQP,pdb4kqp.ent.gz,A
5O2X,pdb5o2x.ent.gz,A
3S6E,pdb3s6e.ent.gz,A
4XDX,pdb4xdx.ent.gz,A
3DK9,pdb3dk9.ent.gz,A
1ZZK,pdb1zzk.ent.gz,A
7AVJ,pdb7avj.ent.gz,A
3VLA,pdb3vla.ent.gz,A
5II6,pdb5ii6.ent.gz,A
4G9S,pdb4g9s.ent.gz,A
4G9S,pdb4g9s.ent.gz,B
4E3Y,pdb4e3y.ent.gz,A
5EWO,pdb5ewo.ent.gz,A
3DHA,pdb3dha.ent.gz,A
6J93,pdb6j93.ent.gz,A
1RTQ,pdb1rtq.ent.gz,A
3NED,pdb3ned.ent.gz,A
7DC4,pdb7dc4.ent.gz,A
4EGU,pdb4egu.ent.gz,A
1KTH,pdb1kth.ent.gz,A
1NKI,pdb1nki.ent.gz,A
6SRY,pdb6sry.ent.gz,A
5AQ0,pdb5aq0.ent.gz,A
6J64,pdb6j64.ent.gz,A
3F1L,pdb3f1l.ent.gz,A
4GA2,pdb4ga2.ent.gz,A
6IIP,pdb6iip.ent.gz,A
2RH2,pdb2rh2.ent.gz,A
1UFY,pdb1ufy.ent.gz,A
7Q0O,7Q0O.pdb.gz,A
3ZZP,pdb3zzp.ent.gz,A
1K5C,pdb1k5c.ent.gz,A
3PUC,pdb3puc.ent.gz,A
5DP2,pdb5dp2.ent.gz,A
3AGN,pdb3agn.ent.gz,A
5F82,pdb5f82.ent.gz,A
5JUG,pdb5jug.ent.gz,A
2XOD,pdb2xod.ent.gz,A
2E4T,pdb2e4t.ent.gz,A
3KFF,pdb3kff.ent.gz,A
6JPT,pdb6jpt.ent.gz,A
5NLD,pdb5nld.ent.gz,A
3E4G,pdb3e4g.ent.gz,A
4R5R,pdb4r5r.ent.gz,A
1AHO,pdb1aho.ent.gz,A
1U2H,pdb1u2h.ent.gz,A
7P5R,7P5R.pdb.gz,AAA
4M9V,pdb4m9v.ent.gz,C
1G4I,pdb1g4i.ent.gz,A
4KXV,pdb4kxv.ent.gz,A
6MU9,pdb6mu9.ent.gz,A
5A8C,pdb5a8c.ent.gz,A
1XG0,pdb1xg0.ent.gz,C
1XG0,pdb1xg0.ent.gz,A
1XG0,pdb1xg0.ent.gz,B
2BF6,pdb2bf6.ent.gz,A
2XFR,pdb2xfr.ent.gz,A
1BYI,pdb1byi.ent.gz,A
1C75,pdb1c75.ent.gz,A
4ACJ,pdb4acj.ent.gz,A
6X7J,pdb6x7j.ent.gz,A
7RWG,7RWG.pdb.gz,A
5DZE,pdb5dze.ent.gz,A
5TIF,pdb5tif.ent.gz,A
1F94,pdb1f94.ent.gz,A
7P24,7P24.pdb.gz,AAA
3EO6,pdb3eo6.ent.gz,A
1ZUU,pdb1zuu.ent.gz,A
4Q4G,pdb4q4g.ent.gz,X
3VII,pdb3vii.ent.gz,A
5XQV,pdb5xqv.ent.gz,A
1M1Q,pdb1m1q.ent.gz,A
4OO4,pdb4oo4.ent.gz,A
7L71,7L71.pdb.gz,A
4PNO,pdb4pno.ent.gz,A
3GOE,pdb3goe.ent.gz,A
1XMK,pdb1xmk.ent.gz,A
4MTU,pdb4mtu.ent.gz,A
1TG0,pdb1tg0.ent.gz,A
6YP6,pdb6yp6.ent.gz,A
3WCQ,pdb3wcq.ent.gz,A
1ZLB,pdb1zlb.ent.gz,A
6FJN,pdb6fjn.ent.gz,A
3AKS,pdb3aks.ent.gz,A
6RYG,pdb6ryg.ent.gz,A
6Q7D,pdb6q7d.ent.gz,A
4AWT,pdb4awt.ent.gz,A
3V1A,pdb3v1a.ent.gz,A
2V8T,pdb2v8t.ent.gz,A
4HGU,pdb4hgu.ent.gz,A
3D1P,pdb3d1p.ent.gz,A
6TN1,6TN1.pdb.gz,AAA
4BCT,pdb4bct.ent.gz,A
5SY4,pdb5sy4.ent.gz,A
3JU4,pdb3ju4.ent.gz,A
1GQV,pdb1gqv.ent.gz,A
1IXH,pdb1ixh.ent.gz,A
1V0L,pdb1v0l.ent.gz,A
3FSA,pdb3fsa.ent.gz,A
3PSM,pdb3psm.ent.gz,A
6K9J,pdb6k9j.ent.gz,A
7YZ7,7YZ7.pdb.gz,A
2G58,pdb2g58.ent.gz,A
4EKF,pdb4ekf.ent.gz,A
4WPK,pdb4wpk.ent.gz,A
4A7U,pdb4a7u.ent.gz,A
2PNE,pdb2pne.ent.gz,A
1UNQ,pdb1unq.ent.gz,A
2ZPM,pdb2zpm.ent.gz,A
3JUD,pdb3jud.ent.gz,A
1K4I,pdb1k4i.ent.gz,A
1TQG,pdb1tqg.ent.gz,A
6Q4G,pdb6q4g.ent.gz,A
7QYO,7QYO.pdb.gz,A
5SBQ,pdb5sbq.ent.gz,A
4IAU,pdb4iau.ent.gz,A
1MWQ,pdb1mwq.ent.gz,A
3Q46,pdb3q46.ent.gz,A
5CKL,pdb5ckl.ent.gz,A
2FWH,pdb2fwh.ent.gz,A
5O45,pdb5o45.ent.gz,A
7KOM,7KOM.pdb.gz,A
5OTN,pdb5otn.ent.gz,A
1UG6,pdb1ug6.ent.gz,A
6RK0,pdb6rk0.ent.gz,A
4AQO,pdb4aqo.ent.gz,A
6RVU,pdb6rvu.ent.gz,A
7TB7,7TB7.pdb.gz,A
3F7L,pdb3f7l.ent.gz,A
6G1I,pdb6g1i.ent.gz,A
7A2W,pdb7a2w.ent.gz,A
8A55,8A55.pdb.gz,A
6U66,pdb6u66.ent.gz,A
5II8,pdb5ii8.ent.gz,A
4RJ2,pdb4rj2.ent.gz,A
7B1S,pdb7b1s.ent.gz,A
7B1S,pdb7b1s.ent.gz,B
7B1S,pdb7b1s.ent.gz,C
4NDS,pdb4nds.ent.gz,A
4X5P,pdb4x5p.ent.gz,A
5JDK,pdb5jdk.ent.gz,A
6YK4,pdb6yk4.ent.gz,A
2GKG,pdb2gkg.ent.gz,A
2CHH,pdb2chh.ent.gz,A
7ADR,pdb7adr.ent.gz,B
7ADR,pdb7adr.ent.gz,A
1JFB,pdb1jfb.ent.gz,A
7ADR,pdb7adr.ent.gz,C
2CWS,pdb2cws.ent.gz,A
1EB6,pdb1eb6.ent.gz,A
3H31,pdb3h31.ent.gz,A
3AJ4,pdb3aj4.ent.gz,A
2BV4,pdb2bv4.ent.gz,A
5TVY,pdb5tvy.ent.gz,A
1O7J,pdb1o7j.ent.gz,A
3FYM,pdb3fym.ent.gz,A
6IFP,pdb6ifp.ent.gz,A
1GA6,pdb1ga6.ent.gz,A
4N1I,pdb4n1i.ent.gz,A
4BJ0,pdb4bj0.ent.gz,A
6PWS,pdb6pws.ent.gz,A
2CNQ,pdb2cnq.ent.gz,A
5R43,pdb5r43.ent.gz,B
5R43,pdb5r43.ent.gz,C
1LNI,pdb1lni.ent.gz,A
6IGG,pdb6igg.ent.gz,A
4ZGF,pdb4zgf.ent.gz,A
5WS7,pdb5ws7.ent.gz,A
4DPB,pdb4dpb.ent.gz,X
1GKM,pdb1gkm.ent.gz,A
2R31,pdb2r31.ent.gz,A
1HJ8,pdb1hj8.ent.gz,A
5IQN,pdb5iqn.ent.gz,A
2GGC,pdb2ggc.ent.gz,A
1TT8,pdb1tt8.ent.gz,A
5B5H,pdb5b5h.ent.gz,A
1Q6Z,pdb1q6z.ent.gz,A
6WJM,pdb6wjm.ent.gz,A
2RBK,pdb2rbk.ent.gz,A
5IDB,pdb5idb.ent.gz,A
2PND,pdb2pnd.ent.gz,A
4YMY,pdb4ymy.ent.gz,A
2JHF,pdb2jhf.ent.gz,A
3NOQ,pdb3noq.ent.gz,A
6ZAT,pdb6zat.ent.gz,A
5XBU,pdb5xbu.ent.gz,A
4GNR,pdb4gnr.ent.gz,A
5CTM,pdb5ctm.ent.gz,A
3U7Q,pdb3u7q.ent.gz,B
3U7Q,pdb3u7q.ent.gz,A
5ZX8,pdb5zx8.ent.gz,A
5IVN,pdb5ivn.ent.gz,A
2QSK,pdb2qsk.ent.gz,A
4YNH,pdb4ynh.ent.gz,A
2A6Z,pdb2a6z.ent.gz,A
3VRC,pdb3vrc.ent.gz,A
4CNN,pdb4cnn.ent.gz,A
4Q9W,pdb4q9w.ent.gz,A
1OD3,pdb1od3.ent.gz,A
2IIM,pdb2iim.ent.gz,A
3RWN,pdb3rwn.ent.gz,A
1LKK,pdb1lkk.ent.gz,A
5SV5,pdb5sv5.ent.gz,A
1MN8,pdb1mn8.ent.gz,A
5E1N,pdb5e1n.ent.gz,A
6GZ8,pdb6gz8.ent.gz,A
2I4A,pdb2i4a.ent.gz,A
3L8W,pdb3l8w.ent.gz,A
2VHA,pdb2vha.ent.gz,A
4AXO,pdb4axo.ent.gz,A
2X46,pdb2x46.ent.gz,A
6FVI,pdb6fvi.ent.gz,A
2P5K,pdb2p5k.ent.gz,A
5D66,pdb5d66.ent.gz,A
2QXI,pdb2qxi.ent.gz,A
6EUW,pdb6euw.ent.gz,A
6Y0H,pdb6y0h.ent.gz,A
1NQJ,pdb1nqj.ent.gz,A
5DGJ,pdb5dgj.ent.gz,A
5JIG,pdb5jig.ent.gz,A
2CE2,pdb2ce2.ent.gz,X
3RQ9,pdb3rq9.ent.gz,A
8E77,8E77.pdb.gz,A
3WH1,pdb3wh1.ent.gz,A
2H3L,pdb2h3l.ent.gz,A
7K9C,pdb7k9c.ent.gz,A
1OAI,pdb1oai.ent.gz,A
6NFR,pdb6nfr.ent.gz,A
4K8Y,pdb4k8y.ent.gz,A
4JP6,pdb4jp6.ent.gz,A
6I3B,pdb6i3b.ent.gz,A
1C7K,pdb1c7k.ent.gz,A
6UKF,pdb6ukf.ent.gz,X
4X6H,pdb4x6h.ent.gz,A
1ZK4,pdb1zk4.ent.gz,A
3A4R,pdb3a4r.ent.gz,A
2QCP,pdb2qcp.ent.gz,X
3SOJ,pdb3soj.ent.gz,A
4TXR,pdb4txr.ent.gz,A
4TXR,pdb4txr.ent.gz,C
3JYO,pdb3jyo.ent.gz,A
1Y55,pdb1y55.ent.gz,X
3AUB,pdb3aub.ent.gz,A
6L8G,pdb6l8g.ent.gz,B
3BWH,pdb3bwh.ent.gz,A
3A02,pdb3a02.ent.gz,A
2V1M,pdb2v1m.ent.gz,A
3CCD,pdb3ccd.ent.gz,A
3X1X,pdb3x1x.ent.gz,A
7SNE,7SNE.pdb.gz,A
7B5W,pdb7b5w.ent.gz,A
3E7R,pdb3e7r.ent.gz,L
3ZUC,pdb3zuc.ent.gz,A
4YPO,pdb4ypo.ent.gz,A
3TEU,pdb3teu.ent.gz,A
3ZIY,pdb3ziy.ent.gz,A
6HN3,pdb6hn3.ent.gz,A
6R33,pdb6r33.ent.gz,A
3SK2,pdb3sk2.ent.gz,A
7JJA,pdb7jja.ent.gz,A
4BPF,pdb4bpf.ent.gz,A
6Z5Y,pdb6z5y.ent.gz,A
7A3M,pdb7a3m.ent.gz,A
3NBC,pdb3nbc.ent.gz,A
5E1Y,pdb5e1y.ent.gz,A
5JH8,pdb5jh8.ent.gz,A
6Y4E,pdb6y4e.ent.gz,A
6N59,pdb6n59.ent.gz,A
7QLJ,7QLJ.pdb.gz,A
6QAZ,pdb6qaz.ent.gz,A
1QTW,pdb1qtw.ent.gz,A
1I27,pdb1i27.ent.gz,A
1CXQ,pdb1cxq.ent.gz,A
1RW1,pdb1rw1.ent.gz,A
5MDU,pdb5mdu.ent.gz,A
1CC8,pdb1cc8.ent.gz,A
6I03,pdb6i03.ent.gz,A
4YSI,pdb4ysi.ent.gz,A
7A2S,pdb7a2s.ent.gz,A
7T5U,7T5U.pdb.gz,A
5AOT,pdb5aot.ent.gz,A
3NVS,pdb3nvs.ent.gz,A
5YDE,pdb5yde.ent.gz,A
7RM7,7RM7.pdb.gz,A
8AG2,8AG2.pdb.gz,A
1KQP,pdb1kqp.ent.gz,A
4UHC,pdb4uhc.ent.gz,A
5M17,pdb5m17.ent.gz,A
5Y0M,pdb5y0m.ent.gz,A
5M2T,pdb5m2t.ent.gz,A
3W07,pdb3w07.ent.gz,A
4WX4,pdb4wx4.ent.gz,A
6EF7,pdb6ef7.ent.gz,A
7KP2,7KP2.pdb.gz,A
3L5L,pdb3l5l.ent.gz,A
4UDX,pdb4udx.ent.gz,X
4EIE,pdb4eie.ent.gz,A
6GGP,pdb6ggp.ent.gz,A
3B64,pdb3b64.ent.gz,A
3O1N,pdb3o1n.ent.gz,A
5OAZ,pdb5oaz.ent.gz,A
6Q3P,pdb6q3p.ent.gz,B
6Q41,pdb6q41.ent.gz,A
6Q41,pdb6q41.ent.gz,B
6Q3P,pdb6q3p.ent.gz,C
3ROF,pdb3rof.ent.gz,A
1Y93,pdb1y93.ent.gz,A
4XPX,pdb4xpx.ent.gz,A
1XQO,pdb1xqo.ent.gz,A
5D5Y,pdb5d5y.ent.gz,A
5ONK,pdb5onk.ent.gz,A
3VZ9,pdb3vz9.ent.gz,B
3VZ9,pdb3vz9.ent.gz,D
6DCM,pdb6dcm.ent.gz,A
6BQA,pdb6bqa.ent.gz,A
3W9V,pdb3w9v.ent.gz,A
3QZR,pdb3qzr.ent.gz,A
6N9H,pdb6n9h.ent.gz,A
3A72,pdb3a72.ent.gz,A
2OB3,pdb2ob3.ent.gz,A
7QTB,7QTB.pdb.gz,A
4RV5,pdb4rv5.ent.gz,A
3FMU,pdb3fmu.ent.gz,A
5TNV,pdb5tnv.ent.gz,A
6FM7,pdb6fm7.ent.gz,A
1OE1,pdb1oe1.ent.gz,A
5IMA,pdb5ima.ent.gz,A
2ANX,pdb2anx.ent.gz,A
7T3E,7T3E.pdb.gz,A
3I94,pdb3i94.ent.gz,A
5AE0,pdb5ae0.ent.gz,A
2HEU,pdb2heu.ent.gz,A
3OV5,pdb3ov5.ent.gz,A
5P9V,pdb5p9v.ent.gz,A
2NWD,pdb2nwd.ent.gz,X
2PVX,pdb2pvx.ent.gz,A
1QXY,pdb1qxy.ent.gz,A
3WAR,pdb3war.ent.gz,A
6MM2,pdb6mm2.ent.gz,A
2R16,pdb2r16.ent.gz,A
2BOG,pdb2bog.ent.gz,X
6HR0,pdb6hr0.ent.gz,A
3CUZ,pdb3cuz.ent.gz,A
1I2T,pdb1i2t.ent.gz,A
4B9G,pdb4b9g.ent.gz,A
2GJ3,pdb2gj3.ent.gz,A
1TJX,pdb1tjx.ent.gz,A
3ZQX,pdb3zqx.ent.gz,A
1D5T,pdb1d5t.ent.gz,A
6S07,pdb6s07.ent.gz,A
7BGG,pdb7bgg.ent.gz,A
6KGI,pdb6kgi.ent.gz,B
4AOH,pdb4aoh.ent.gz,A
6ENP,pdb6enp.ent.gz,A
6BEV,pdb6bev.ent.gz,A
6QJL,pdb6qjl.ent.gz,A
4GJZ,pdb4gjz.ent.gz,A
6FNK,pdb6fnk.ent.gz,A
3C70,pdb3c70.ent.gz,A
1LWB,pdb1lwb.ent.gz,A
6RY0,pdb6ry0.ent.gz,A
5WGI,pdb5wgi.ent.gz,A
1PSR,pdb1psr.ent.gz,A
6F9O,pdb6f9o.ent.gz,A
4QYT,pdb4qyt.ent.gz,A
1YQS,pdb1yqs.ent.gz,A
6FPO,pdb6fpo.ent.gz,L
6FPO,pdb6fpo.ent.gz,S
3EUN,pdb3eun.ent.gz,A
2W15,pdb2w15.ent.gz,A
4CO8,pdb4co8.ent.gz,A
6TVE,pdb6tve.ent.gz,P
2OIZ,pdb2oiz.ent.gz,A
7E2S,pdb7e2s.ent.gz,A
5NWP,pdb5nwp.ent.gz,A
2OIZ,pdb2oiz.ent.gz,D
7D8D,pdb7d8d.ent.gz,A
2V3I,pdb2v3i.ent.gz,A
6NNR,pdb6nnr.ent.gz,A
3BEU,pdb3beu.ent.gz,A
1FSG,pdb1fsg.ent.gz,A
4X2R,pdb4x2r.ent.gz,A
2AU7,pdb2au7.ent.gz,A
5SVY,pdb5svy.ent.gz,A
5FI3,pdb5fi3.ent.gz,A
3LO8,pdb3lo8.ent.gz,A
2C71,pdb2c71.ent.gz,A
1R2Q,pdb1r2q.ent.gz,A
2XWV,pdb2xwv.ent.gz,A
2HBW,pdb2hbw.ent.gz,A
7MPD,pdb7mpd.ent.gz,A
3GMX,pdb3gmx.ent.gz,A
3VM9,pdb3vm9.ent.gz,A
2V9B,pdb2v9b.ent.gz,A
4MNC,pdb4mnc.ent.gz,A
4YAA,pdb4yaa.ent.gz,A
2VZP,pdb2vzp.ent.gz,A
5B8D,pdb5b8d.ent.gz,A
4PLZ,pdb4plz.ent.gz,A
3IQU,pdb3iqu.ent.gz,A
1KMV,pdb1kmv.ent.gz,A
4AFF,pdb4aff.ent.gz,A
6SID,pdb6sid.ent.gz,A
2X5Y,pdb2x5y.ent.gz,A
4W7L,pdb4w7l.ent.gz,A
3R2Q,pdb3r2q.ent.gz,A
4B5O,pdb4b5o.ent.gz,A
5FAF,pdb5faf.ent.gz,A
2RK3,pdb2rk3.ent.gz,A
1RWY,pdb1rwy.ent.gz,A
1LQT,pdb1lqt.ent.gz,A
3W4P,pdb3w4p.ent.gz,A
2D5M,pdb2d5m.ent.gz,A
5CTV,pdb5ctv.ent.gz,A
3EY6,pdb3ey6.ent.gz,A
5QI0,pdb5qi0.ent.gz,A
3WMV,pdb3wmv.ent.gz,A
3VUP,pdb3vup.ent.gz,A
4ANN,pdb4ann.ent.gz,A
1M2D,pdb1m2d.ent.gz,A
6WQY,pdb6wqy.ent.gz,A
3PB6,pdb3pb6.ent.gz,X
5I86,pdb5i86.ent.gz,A
6S1H,pdb6s1h.ent.gz,A
4W7W,pdb4w7w.ent.gz,A
1EUW,pdb1euw.ent.gz,A
3R41,pdb3r41.ent.gz,A
1JCL,pdb1jcl.ent.gz,A
2VZC,pdb2vzc.ent.gz,A
6C1X,pdb6c1x.ent.gz,A
6TCC,pdb6tcc.ent.gz,A
2CZQ,pdb2czq.ent.gz,A
6ELV,pdb6elv.ent.gz,A
3R87,pdb3r87.ent.gz,A
7ESK,pdb7esk.ent.gz,A
2AXW,pdb2axw.ent.gz,A
7F1K,7F1K.pdb.gz,A
4OUS,pdb4ous.ent.gz,A
5NYK,pdb5nyk.ent.gz,A
6FJ7,pdb6fj7.ent.gz,A
7LKL,7LKL.pdb.gz,B
7LKL,7LKL.pdb.gz,A
1M9Z,pdb1m9z.ent.gz,A
4N0K,pdb4n0k.ent.gz,A
2HIN,pdb2hin.ent.gz,A
5U4H,pdb5u4h.ent.gz,A
3G5S,pdb3g5s.ent.gz,A
4I62,pdb4i62.ent.gz,A
6NXY,pdb6nxy.ent.gz,A
7PVS,7PVS.pdb.gz,A
4CO3,pdb4co3.ent.gz,A
7Z09,7Z09.pdb.gz,A
4WZ4,pdb4wz4.ent.gz,A
1KJQ,pdb1kjq.ent.gz,A
4N6X,pdb4n6x.ent.gz,A
6R4Z,pdb6r4z.ent.gz,A
7ET5,pdb7et5.ent.gz,A
6H40,pdb6h40.ent.gz,A
7TFM,7TFM.pdb.gz,A
4D8B,pdb4d8b.ent.gz,A
6B8F,pdb6b8f.ent.gz,A
4XOT,pdb4xot.ent.gz,A
3TC8,pdb3tc8.ent.gz,A
6HAV,pdb6hav.ent.gz,A
4FK9,pdb4fk9.ent.gz,A
7PU1,7PU1.pdb.gz,AAA
3ULJ,pdb3ulj.ent.gz,A
4UZG,pdb4uzg.ent.gz,A
4KGD,pdb4kgd.ent.gz,A
4E9S,pdb4e9s.ent.gz,A
3W42,pdb3w42.ent.gz,A
3MCW,pdb3mcw.ent.gz,A
5M4V,pdb5m4v.ent.gz,A
1N40,pdb1n40.ent.gz,A
5OGJ,pdb5ogj.ent.gz,A
3NYC,pdb3nyc.ent.gz,A
6YOO,pdb6yoo.ent.gz,A
6JK2,pdb6jk2.ent.gz,A
7BIU,pdb7biu.ent.gz,A
3P6D,pdb3p6d.ent.gz,A
2DKO,pdb2dko.ent.gz,A
2DKO,pdb2dko.ent.gz,B
2R0X,pdb2r0x.ent.gz,A
3CU9,pdb3cu9.ent.gz,A
6JK4,pdb6jk4.ent.gz,A
7CKA,pdb7cka.ent.gz,A
6UFV,pdb6ufv.ent.gz,A
